time,$T_1$,$T_2$,$T_{wall}$,$T_{out}$,u_0
39360.0,374.74351650190727,372.11628671754784,348.4113415306063,298.346558531587,1.0
39420.0,374.4359402242595,371.79836627469507,348.0617230389187,297.9151563432807,1.0
39480.0,373.9195446574803,371.2893795586079,347.49783942581746,297.22667978360386,1.0
39540.0,373.27051520688366,370.6429091996698,346.85658856528147,296.5631187524449,1.0
39600.0,372.8929768204976,370.26679478760485,346.51047479834835,296.3113517827488,1.0
39660.0,372.65733706405524,370.0237382017146,346.317587400527,296.31158025846,1.0
39720.0,372.8195571089411,370.1993381986503,346.55736917222816,296.7332939187092,1.0
39780.0,373.2505805159797,370.6250304464216,346.997517288617,297.185902371339,1.0
39840.0,373.6828545532668,371.06372160837066,347.451676962143,297.70250858781304,1.0
39900.0,374.08940991263773,371.4611874349849,347.84692318212865,297.9763201320002,1.0
39960.0,374.1819859044029,371.54618760130944,347.87234948382337,297.87336327020563,1.0
40020.0,373.9204781067979,371.29795889478885,347.54115742692153,297.39792633387515,1.0
40080.0,373.54014729896977,370.91189602732715,347.1563696855814,296.97604104288615,1.0
40140.0,373.10260037404925,370.4757569828205,346.7244548654453,296.4380023446208,1.0
40200.0,372.7369640942636,370.1116874739599,346.3704296744941,296.1176163522788,1.0
40260.0,372.4218256703008,369.7871115278314,346.10076456041344,296.0424780884742,1.0
40320.0,372.493122361803,369.8627779326816,346.2276545642484,296.35772399705445,1.0
40380.0,372.8698329259097,370.2447756455374,346.67095008160084,296.9088432709797,1.0
40440.0,373.4442908997519,370.81722892414376,347.2108295112968,297.49636787925476,1.0
40500.0,374.0084562738513,371.37102263614497,347.77368534899597,297.9850999240824,1.0
40560.0,374.33807032510146,371.70716291158055,348.0801609978995,298.1582965916529,1.0
40620.0,374.3316794094495,371.70055205320745,347.97745478845036,297.85938178266423,1.0
40680.0,373.9730515330881,371.3518805037142,347.5568090661775,297.2970166058128,1.0
40740.0,373.4121959613898,370.7905939113694,346.9951862510026,296.7551479568617,1.0
40800.0,372.8378849218796,370.2137942522813,346.45901923911936,296.2513841072943,1.0
40860.0,372.5682295724823,369.9436293608634,346.2117870705545,296.06176995730374,1.0
40920.0,372.4334854305697,369.80283952569005,346.0941213913304,296.12617362434827,1.0
40980.0,372.60964647956416,369.97246549025635,346.3301361572447,296.5569056440155,1.0
41040.0,373.0704035193188,370.4260876338399,346.84051709737264,297.11992433538205,1.0
41100.0,373.58940572623624,370.9622604662711,347.3673760862776,297.6079116456328,1.0
41160.0,374.00048167721627,371.3688304491919,347.7225217601514,297.9030482893279,1.0
41220.0,374.1669101531232,371.5323100057895,347.8146314995182,297.7607085080091,1.0
41280.0,373.87735481702583,371.2329163959727,347.5000867171746,297.31877449682094,1.0
41340.0,373.488163862077,370.8531253419457,347.07900735744147,296.87843328410344,1.0
41400.0,372.97666549773413,370.3437015602235,346.53284758156053,296.15124983464267,1.0
41460.0,372.3315126849086,369.69870176258286,345.9662613165244,295.78313192734777,1.0
41520.0,372.07395356470585,369.4381678320319,345.7449317290398,295.67005299445134,1.0
41580.0,372.12015873401174,369.4777858042236,345.8434803867078,295.8617393260357,1.0
41640.0,372.4900643851758,369.8527167604488,346.2382755894637,296.5209718562317,1.0
41700.0,372.9937497973945,370.348536858149,346.7989851873971,297.095568111436,1.0
41760.0,373.4689186759091,370.8280928772411,347.2560648093331,297.5195386218292,1.0
41820.0,373.8446899334104,371.2093892099536,347.6502618137409,297.75992499595344,1.0
41880.0,373.92632885469885,371.29238054083663,347.59614649135966,297.56801079307394,1.0
41940.0,373.619064126636,370.9916718932424,347.25008118464183,297.1046955823194,1.0
42000.0,373.13356043245784,370.4918279093623,346.71813721972023,296.45436920715144,1.0
42060.0,372.64731656689355,370.0043201338299,346.22902768680655,295.9763452171883,1.0
42120.0,372.3324026063563,369.69529882498875,345.96080289864136,295.8294997395733,1.0
42180.0,372.24158276777615,369.62492503319277,345.91307085597003,295.8662077101189,1.0
42240.0,372.37877434426264,369.7512685353072,346.1196019316592,296.3292513887379,1.0
42300.0,372.92499237055483,370.2954125777909,346.66521518267564,296.8285637623061,1.0
42360.0,373.30664196994024,370.666864457998,347.0894653025588,297.32313040969245,1.0
42420.0,373.7924574947506,371.16049830994683,347.53084480214244,297.73781433048214,1.0
42480.0,374.01925383683397,371.38394613995354,347.7435524056429,297.75941863568255,1.0
42540.0,373.98272505848564,371.3579702687071,347.5977794750487,297.43366617155414,1.0
42600.0,373.515526232306,370.86832934543764,347.12212781465763,296.85544149316786,1.0
42660.0,373.0369844369499,370.40218497604184,346.631945253274,296.35016010639,1.0
42720.0,372.4942188897092,369.85831721562363,346.1115442700649,295.92722417132325,1.0
42780.0,372.25532206222897,369.628248823002,345.9341369044239,295.9263076595119,1.0
42840.0,372.29642102098364,369.66029083757064,345.98621359575236,296.1042878846433,1.0
42900.0,372.71445429621514,370.0749510423434,346.5029787780436,296.7535232197495,1.0
42960.0,373.2968412977743,370.6612830012438,347.05570568505925,297.33332861232066,1.0
43020.0,373.6799147740928,371.0490592979186,347.41870648838216,297.6036697883987,1.0
43080.0,373.9744976403902,371.35186763132083,347.67596938411594,297.7064115150549,1.0
43140.0,373.9139943885458,371.27773477930714,347.5710680909015,297.4611706758734,1.0
43200.0,373.46526521168215,370.83202497216007,347.0408201648693,296.7844146728036,1.0
43260.0,372.9418476674023,370.31521568221893,346.50229360995115,296.1156843120467,0.0
43320.0,310.6745739208108,310.6657921346746,306.63182004742384,295.4940477814856,0.0
43380.0,298.4386766696529,298.44758691819266,297.6346073471939,295.36108184913104,0.0
43440.0,296.08900523410057,296.0802100421358,295.9788510796489,295.6671519877025,0.0
43500.0,295.93177338072593,295.9274559529477,295.97251159397734,296.11520423801915,0.0
43560.0,296.33454677738314,296.3337046362193,296.4235954975497,296.6406633880519,0.0
43620.0,296.81277445189403,296.8124684343265,296.90169245798313,297.177143542302,0.0
43680.0,297.2480328224901,297.2396656593558,297.2923614610017,297.4877620980107,0.0
43740.0,297.46548503320133,297.4465535045735,297.4662238555879,297.5090165930832,0.0
43800.0,297.33774799369735,297.33696535116815,297.299024304149,297.1787732301445,0.0
43860.0,296.8535021001417,296.8497390579057,296.78029950213244,296.54073473018934,0.0
43920.0,296.3367259663511,296.34142635736464,296.22068065051155,295.89218547547136,0.0
43980.0,295.7980281054534,295.7962929712662,295.6916198091544,295.4831514492672,0.0
44040.0,295.5852499216222,295.5673587648687,295.5869516432593,295.5328144694123,0.0
44100.0,295.71293761959873,295.7046354369653,295.7718922689755,295.9413717549489,0.0
44160.0,296.1719692526472,296.16800224838556,296.2527654032706,296.5207020442596,0.0
44220.0,296.7274191990544,296.72564558216465,296.81622376379784,297.08859546886464,0.0
44280.0,297.18184195058905,297.1743891820753,297.25427879950416,297.4447851503087,0.0
44340.0,297.4219822639731,297.4132634581631,297.43369585392435,297.50332145749786,0.0
44400.0,297.37164009803337,297.3634149919419,297.3254490094204,297.29118252539536,0.0
44460.0,297.0527989441685,297.05591378236215,296.998526583242,296.8732405666964,0.0
44520.0,296.6641592349501,296.6669879447264,296.5918251739779,296.33339021298843,0.0
44580.0,296.1433645238005,296.1461893655565,296.0416752561271,295.82706188569654,0.0
44640.0,295.7139710955302,295.70435124144325,295.67153561171557,295.55197971833985,0.0
44700.0,295.6591622544,295.6531908422674,295.6760728254482,295.75792241002193,0.0
44760.0,295.94813756756656,295.95708580934,296.0142410371705,296.26202904137233,0.0
44820.0,296.55011193361725,296.55259438316983,296.6730921233482,297.06693009639025,0.0
44880.0,297.19285993527774,297.19589564194627,297.2597623983733,297.4100491617438,0.0
44940.0,297.49194349970384,297.48968207107293,297.5375482173749,297.70099256479415,0.0
45000.0,297.61507973070525,297.62203144489393,297.6094475086097,297.630511643053,0.0
45060.0,297.45185533592456,297.4630457979306,297.4068524267659,297.2726024700801,0.0
45120.0,297.08508434967166,297.08962507922786,297.0275105776724,296.8007541273569,0.0
45180.0,296.5214270617915,296.52123143214493,296.42653196642004,296.1254917946018,0.0
45240.0,296.050771260018,296.0559117975287,295.9759885411682,295.7548262829346,0.0
45300.0,295.77186397174785,295.77871132323054,295.76525851083886,295.75248279289474,0.0
45360.0,295.8419914655516,295.83520544129925,295.83794318314773,295.9317858015738,0.0
45420.0,296.169389213827,296.16656184162764,296.24828367440654,296.47258129789657,0.0
45480.0,296.62623863700895,296.62141556705615,296.7097554989126,296.99138147330314,0.0
45540.0,297.09520957078075,297.0919214769319,297.17502611384185,297.38410601438227,0.0
45600.0,297.3437726068022,297.3466716647332,297.3826664641389,297.4648083715809,0.0
45660.0,297.2307353750134,297.2317266987348,297.21297264016545,297.14226652374293,0.0
45720.0,296.9765780758352,296.9812656048056,296.88347492499463,296.60961640269056,0.0
45780.0,296.3993931543734,296.3896935592234,296.2792110216751,295.97607479534076,0.0
45840.0,295.8276568152275,295.8240748209645,295.78008578452136,295.5348698772094,0.0
45900.0,295.5180344214321,295.51982079855617,295.4881728788232,295.42955287643986,0.0
45960.0,295.5754920333312,295.5763467711859,295.5934633310409,295.615564285895,0.0
46020.0,295.7834368287404,295.78467838112414,295.83367888829275,295.9911907027947,0.0
46080.0,296.1924748814457,296.1765993527348,296.26540130198936,296.5438273340742,0.0
46140.0,296.7135051971212,296.7101783664188,296.7810563201722,297.05317092092287,0.0
46200.0,297.16914800039444,297.1719094749516,297.19826982190483,297.3710684309486,0.0
46260.0,297.3916604889377,297.39625668387976,297.357555442931,297.3827919297049,0.0
46320.0,297.1263217486839,297.1390687394463,297.1017419762679,296.9485721705179,0.0
46380.0,296.7682396656315,296.76839452198203,296.68971534509103,296.43560360868025,0.0
46440.0,296.24505163882935,296.2454707986916,296.1717061617506,295.92656905174107,0.0
46500.0,295.7841716853074,295.7904490675067,295.7201398257535,295.5442230634831,0.0
46560.0,295.6311908299215,295.62190183559153,295.609725238556,295.5727786058321,0.0
46620.0,295.59222426980426,295.581930291133,295.62167143906163,295.76211939151483,0.0
46680.0,295.983737928926,295.9792852234899,296.0625106217117,296.3166118093263,0.0
46740.0,296.5296844793258,296.53770147308717,296.6012667656951,296.84500661298273,0.0
46800.0,296.9612200613231,296.9682951713598,296.9971755896842,297.15845750666153,0.0
46860.0,297.1918630893684,297.20264178533915,297.2194734644448,297.2231736226067,0.0
46920.0,297.0299164433,297.0308947535725,296.99385026922704,296.8290684301613,0.0
46980.0,296.61132675729255,296.6107206242381,296.52365402304116,296.2320058513195,0.0
47040.0,295.99973724404697,295.9978997536383,295.91316729320107,295.60766913425164,0.0
47100.0,295.3994905368229,295.4241453521042,295.3125186889666,295.0483374355602,0.0
47160.0,295.02664348217104,295.02803866887257,294.9454705028094,294.72461380783943,0.0
47220.0,294.90686179616796,294.89879393391635,294.90788949616416,294.917631218097,0.0
47280.0,295.2155968208819,295.20671154320087,295.27216191008444,295.55595724949234,0.0
47340.0,295.7001043315742,295.7022255418005,295.84068709130366,296.1422227321794,0.0
47400.0,296.34299118232394,296.3427812764233,296.46680527234923,296.7659628338532,0.0
47460.0,296.7453814223204,296.7472083786234,296.77913396484036,296.8779077497061,0.0
47520.0,296.8226297427277,296.82316174935033,296.8202686538575,296.8195527538771,0.0
47580.0,296.58514574348436,296.5995820093749,296.5336376691808,296.35475758789175,0.0
47640.0,296.0731402489836,296.07574911162726,295.95054289448433,295.58878620758264,0.0
47700.0,295.3936111611705,295.3952897288363,295.2877935907786,295.0005533268835,0.0
47760.0,294.992576970553,294.9979932348457,294.93164067947885,294.8147328484995,0.0
47820.0,294.90930615775227,294.9131078948221,294.89581830923936,294.8853739432456,0.0
47880.0,295.01312372533135,295.0143375560813,295.055810508432,295.2145110445688,0.0
47940.0,295.50149620571256,295.497704150285,295.5916989482692,295.8880713073345,0.0
48000.0,296.16820794483357,296.16177168487167,296.25455182265864,296.5433610426553,0.0
48060.0,296.6292186266541,296.6266353296464,296.7033491441282,296.8797846977332,0.0
48120.0,296.80143389392447,296.8082864541612,296.84357386888854,296.93271615750444,0.0
48180.0,296.6639446282659,296.66401159961106,296.6116119028041,296.5144282443456,0.0
48240.0,296.3038946261426,296.2958543651354,296.2211281808748,295.98609764467113,0.0
48300.0,295.78302735544054,295.77882170830975,295.69241397526315,295.42770551329585,0.0
48360.0,295.29830276390794,295.29057122902236,295.24354494432754,295.05192881321096,0.0
48420.0,295.16123969530526,295.1596562714586,295.1356343313508,295.1225082505992,0.0
48480.0,295.26708709747675,295.2788878143877,295.29812825693693,295.41291121200584,0.0
48540.0,295.5135530745624,295.5078531894364,295.6013156798855,295.82749542842015,0.0
48600.0,295.98981817415205,295.9927482789024,296.11794878025694,296.35812956553985,0.0
48660.0,296.38707122596884,296.39840505376236,296.48584271793925,296.6681225450852,0.0
48720.0,296.639968315822,296.6416835882526,296.6533160052626,296.73455618605095,0.0
48780.0,296.61417254774693,296.6186651624223,296.6114229115211,296.5394014688577,0.0
48840.0,296.3596540438558,296.3559631089275,296.3019668379095,296.16145996037875,0.0
48900.0,295.9422128111955,295.94100690926115,295.8828572955584,295.59493855676567,0.0
48960.0,295.34973300854256,295.34969208737795,295.24280643152906,294.9307740498536,0.0
49020.0,294.8646006382253,294.8632852407641,294.8087225446179,294.6234036576127,0.0
49080.0,294.6820447626269,294.67642842335385,294.70605883310725,294.69906755693904,0.0
49140.0,294.9096287440387,294.91579391198417,294.96106081296915,295.0820680369353,0.0
49200.0,295.3430952565622,295.341871645629,295.42933254845843,295.70192611991905,0.0
49260.0,295.9439270241487,295.93657010530444,296.0491805870943,296.382604748784,0.0
49320.0,296.41459289383175,296.41549396172894,296.4766475263046,296.57576194001643,0.0
