time,$T_1$,$T_2$,$T_{wall}$,$T_{out}$,u_0
18720.0,294.60990360592945,294.5954008127136,294.5327687185313,294.26602916421336,0.0
18780.0,294.1249260556424,294.12466026846835,294.02025733917804,293.68941057558646,0.0
18840.0,293.6356904431507,293.64024561166093,293.5910124129493,293.3985762105553,0.0
18900.0,293.4815902603496,293.48822777151497,293.4557820875407,293.38366908716165,0.0
18960.0,293.46638633044284,293.4622743669809,293.47318413110924,293.5550505379036,0.0
19020.0,293.794622624112,293.79255430999655,293.8642783497401,294.0193771275921,0.0
19080.0,294.2455872762769,294.25096131208574,294.3600053071844,294.705395409649,0.0
19140.0,294.8292752793577,294.8241477217356,294.9071649507783,295.1314989071317,0.0
19200.0,295.04943996222585,295.0560213139997,295.06598809562166,295.12467189480833,0.0
19260.0,294.9608520562261,294.96934643918314,294.9403732473939,294.86432266820947,0.0
19320.0,294.618135573296,294.6153587441354,294.55861506748556,294.3451578638866,0.0
19380.0,294.1615386808305,294.1609115380483,294.0753909898753,293.8009997829451,0.0
19440.0,293.72903706264924,293.7301485285355,293.6516620531293,293.40390548928195,0.0
19500.0,293.35590680456585,293.36722420717695,293.31130404884425,293.2055249651182,0.0
19560.0,293.31753621799623,293.30421662081386,293.3233109282144,293.390251045336,0.0
19620.0,293.57391231060495,293.56438614497387,293.62817892676594,293.7701476781996,0.0
19680.0,293.9109501468162,293.9093500278819,293.95166455703554,294.115229481307,0.0
19740.0,294.3080596253423,294.31076527418753,294.38151285402074,294.6269410155658,0.0
19800.0,294.6461199143705,294.63790290544387,294.71826891596857,294.83009632785945,0.0
19860.0,294.7873031775058,294.7800609826288,294.76389802111504,294.7603633112349,0.0
19920.0,294.5476185097758,294.55155473991766,294.5077117591221,294.3291504213836,0.0
19980.0,294.05322447499464,294.05913032019754,293.9574977873104,293.65817697579826,0.0
20040.0,293.48089779584114,293.47494190001316,293.3678644656795,293.0913466875624,0.0
20100.0,292.91669201046784,292.9255068724752,292.85072223434605,292.5911004066537,0.0
20160.0,292.59887689184285,292.59477040652854,292.5703384451725,292.4498818174225,0.0
20220.0,292.61749946117266,292.61065780677836,292.6580351581233,292.81592267708675,0.0
20280.0,293.0636107630371,293.04415803367294,293.1345307251762,293.33135655201056,0.0
20340.0,293.5324200007014,293.5415618900616,293.64439314923567,293.95260681736914,0.0
20400.0,294.06601959479207,294.07490586652654,294.1693805362904,294.3742752494126,0.0
20460.0,294.408822772878,294.4122902122377,294.4343644922333,294.5031693302917,0.0
20520.0,294.36408491286323,294.3628638946695,294.3244392094058,294.12276030992024,0.0
20580.0,293.9314194229582,293.9204756829687,293.8305724894149,293.5308442508613,0.0
20640.0,293.33992764830856,293.3451170378976,293.2234975279589,292.9445383713191,0.0
20700.0,292.7526097834763,292.7547565604845,292.66446440259085,292.3745808969558,0.0
