time,$\theta$,$\omega$,u_0
3.7,-1.7446709951612376,-3.009105705525142,1.2707631738548866
3.75,-1.8839294630221268,-2.454596887805401,-0.20396860813041373
3.8000000000000003,-1.9973808160411413,-1.9932280258636448,0.5048000552274483
3.85,-2.087372980878342,-1.5140576224641544,1.3346988868806409
3.9000000000000004,-2.1531328052314813,-1.0216836941876815,-0.3714430538409641
3.95,-2.19627721548693,-0.6277318092324572,-2.324379567645307
4.0,-2.2220582029684572,-0.3477436305252266,-0.4364383753644634
4.05,-2.2320379229401737,0.02081874740023451,-2.07663437027618
4.1000000000000005,-2.2253386063637217,0.30256016990702633,-1.4626055470524755
4.15,-2.2038710808532174,0.6187923083522499,2.7631972087420626
4.2,-2.162231718234726,1.1557194287898276,-2.024646794984925
4.25,-2.0984108902539678,1.4624959916896576,2.2261613123062087
4.3,-2.014712903152345,1.9946510071229047,-1.13623985011088
4.3500000000000005,-1.907369632711932,2.3814033608799656,1.0350353788872724
4.4,-1.778158976247378,2.891362615931289,1.735634354318947
4.45,-1.6225745317811804,3.4452246565380538,1.4022879088904479
4.5,-1.439438399202399,3.9884578202212504,-2.750280844540223
4.55,-1.2335863893479702,4.305721367834839,-0.28929491395590157
4.6000000000000005,-1.009968456257872,4.713144154048859,0.6543392264571224
4.65,-0.766129273429852,5.110164858087521,0.8436216925328284
4.7,-0.5038726289830902,5.42719740039819,-2.8866711654390316
4.75,-0.23170460715896776,5.444304192535912,-0.8031601764324665
4.800000000000001,0.0408889952065044,5.436485770480686,-1.8274160946634073
4.8500000000000005,0.3093544625016895,5.243698970554306,-2.9189250497403316
4.9,0.5646769865674405,4.8786351690335925,-0.6059154815356167
4.95,0.801935641062138,4.526380474064074,-2.195620865780314
5.0,1.0183202896583239,4.014724036090824,-0.221028070710934
5.050000000000001,1.209905181239351,3.551025477120732,-2.612333359724237
5.1000000000000005,1.375227492941589,2.9356832458731175,-1.6641079803870658
5.15,1.5102831308437508,2.3489411367446165,0.3108795943359939
5.2,1.6179522231167267,1.8600362692740746,-2.407720064624278
5.25,1.6986583592467879,1.2456626713644174,-2.6243032373047246
5.300000000000001,1.7486018549398092,0.6283719521647578,2.2149526559920787
5.3500000000000005,1.7724606999353696,0.2510842775379943,-0.7528749252383833
5.4,1.774646711429084,-0.2686859882372334,-1.0980937215265592
5.45,1.7506853602296069,-0.8005420263086908,1.6465074311547128
5.5,1.7027499231727714,-1.1970761278057391,-1.2748671924209074
5.550000000000001,1.631933523729102,-1.7444577349777508,0.30600637327857916
5.6000000000000005,1.5354935725944787,-2.2093551302647514,0.023172306198803172
5.65,1.4154803029705159,-2.685148908262678,-0.38223022637348003
5.7,1.2714634083931955,-3.167450855094606,0.8397864600153793
5.75,1.1049178819449403,-3.5683165928386633,-2.687834470357515
5.800000000000001,0.915495808551209,-4.103973573277251,-2.4639604897754888
5.8500000000000005,0.7006772836404206,-4.568909041162963,-0.6203731387272176
5.9,0.46615031282845887,-4.853514752311893,-1.7354374572203795
5.95,0.2181897480366575,-5.092405380487597,2.100419651192868
6.0,-0.035409578241600265,-5.018120124683962,-2.132754120833659
6.050000000000001,-0.2871227981360523,-5.034189673587597,-2.587717305780661
6.1000000000000005,-0.537637451974553,-4.952507252824771,1.4827165502900164
6.15,-0.777885387037999,-4.5657913807315005,1.8787009970451374
6.2,-0.9966300208054024,-4.075562660663589,-1.5374593915115473
6.25,-1.193162900998714,-3.704422310339424,1.5382026095323666
6.300000000000001,-1.3672062215990357,-3.1406053931050932,-0.4205881561528466
6.3500000000000005,-1.514644662029523,-2.6590385398009704,-0.8573404136877019
6.4,-1.6384267120478782,-2.1992904792954477,2.567001223791517
6.45,-1.7357192160629988,-1.5701198589216676,2.0198054142584603
6.5,-1.802488848374751,-0.9841253417385775,-1.038642422286992
6.550000000000001,-1.8430984002444548,-0.5568822434427042,2.1329809455016004
6.6000000000000005,-1.8593745217181998,0.02037722547835774,-0.36296038234342
6.65,-1.849321342282417,0.47208393841082946,-1.6835564259459987
6.7,-1.8180441619315482,0.8583791180666895,0.7859653227202656
6.75,-1.7649011551546725,1.3702997142485478,0.19701088156774182
6.800000000000001,-1.6867056259585613,1.854221741837813,0.1511272878909009
6.8500000000000005,-1.5842905263654743,2.340449657586124,2.50912251665871
6.9,-1.4551820095216175,2.942894098708845,2.5227750771735566
6.95,-1.2961035264096799,3.5370774329651673,1.1037546793812685
7.0,-1.1091955956728927,4.035510250105886,2.6043316161787216
7.050000000000001,-0.8966394229598417,4.562653734033757,2.1252886465736536
7.1000000000000005,-0.6594385317045113,4.999620711467149,2.193534138605914
7.15,-0.4021824948101337,5.34036224452957,-1.824071694182635
7.2,-0.13417973890285562,5.363305637869342,-0.9544100267764786
7.25,0.1333237738941216,5.301292484075584,-0.6225902489601332
7.300000000000001,0.3954397074361485,5.130091989753062,2.1040790682548436
7.3500000000000005,0.6492180179057042,4.973772334091313,0.5903170113809528
7.4,0.8916995464036981,4.645185567387173,-2.06808412717991
7.45,1.1135530633138275,4.113957271226476,0.3086418563615494
7.5,1.310221877028858,3.655549152343022,-2.9596609177224167
7.550000000000001,1.4800388441057097,3.0067795278242317,-0.08097721277777459
7.6000000000000005,1.6202357715605527,2.499133080685658,-1.5204884236271214
7.65,1.733690941994689,1.9250750352335857,-2.6846903894589573
7.7,1.8174840520998314,1.3026604383122629,-2.1004936695814376
7.75,1.870908127214858,0.7195489324607729,1.7566577991253742
7.800000000000001,1.8992178444140286,0.33747592704636975,-1.6980967591457545
7.8500000000000005,1.9050647454842828,-0.21270533617944767,2.010360862511346
7.9,1.8871117566639202,-0.5762156510527519,2.173682326916535
7.95,1.8511776185592013,-0.9313789489368812,-0.7687933585881987
8.0,1.7944902823643465,-1.4390974874001565,1.9421783308012073
8.05,1.7150144785505712,-1.8152449596178242,-2.0509898933114545
8.1,1.6126679574919693,-2.3975641057659436,2.847424073730639
8.15,1.4860903053113195,-2.732050132779471,1.1170314941503199
8.200000000000001,1.3410680350565325,-3.146938706968863,-1.0169608353650235
8.25,1.1736079472775878,-3.648063621982111,-0.9769973996869068
8.3,0.9817247442968658,-4.111860369277544,2.786667486374496
8.35,0.7714177586595423,-4.335643536027343,0.6795710471301115
8.4,0.5493576976396326,-4.583259389813852,0.7615094687108055
8.450000000000001,0.3168053849023848,-4.7336444310960895,-1.5981830016947138
8.5,0.07641338153353686,-4.900462337896974,-2.117889578455556
8.55,-0.17063933648313,-4.976631379753391,-0.7372713885294899
8.6,-0.41752345841616667,-4.856490383522139,1.2175270997647287
8.65,-0.6542513109561314,-4.531892494137557,1.1034772679036131
8.700000000000001,-0.8730303500497592,-4.121935326931378,2.2546546049568637
8.75,-1.068737986683178,-3.5924479116375734,2.7922280151752474
8.8,-1.2364455523305822,-2.991795014695678,1.7221346834109634
8.85,-1.3746668684780514,-2.4213135963074714,0.48411627713760774
8.9,-1.4853412494120632,-1.9012195896556852,-2.1543579567309603
8.950000000000001,-1.572607185401372,-1.509895442685683,-2.657434914751072
9.0,-1.6407996217365506,-1.145841007587887,-1.3152058608242143
9.05,-1.6894265433449476,-0.7142672996740655,2.374253319828897
9.1,-1.7130439960913038,-0.10777724810394237,-1.4807672886818313
9.15,-1.7102816331527626,0.30010348805641895,-2.6139235798993106
9.200000000000001,-1.6882426544441602,0.6524233689859891,-1.6001556207173029
9.25,-1.6476522021029845,1.0532765207229553,2.0186666441799943
9.3,-1.5833254642000791,1.6374899320427636,0.36637752605766183
9.35,-1.4914783140131964,2.1355695787265194,0.5521320151502627
9.4,-1.374676651737008,2.634775093951713,1.5855613126197385
9.450000000000001,-1.2319873152844505,3.178037203994827,1.029718658323869
9.5,-1.063255711932624,3.663124035858164,-1.0910984673524262
9.55,-0.8732377772798223,3.9987290584729753,-2.3397734838846604
9.600000000000001,-0.6687504291507463,4.212982791475234,-2.895572619175885
9.65,-0.4556387207928062,4.317081669348843,2.6140588560329823
9.700000000000001,-0.23368596923596932,4.60071619114396,-2.28241648662269
9.75,-0.0045946052684932015,4.5324911803376,-0.20575812301778273
9.8,0.22100155366121094,4.4587151758377965,0.09212225285144071
9.850000000000001,0.4410908174323152,4.294473276900141,-0.3323089318536374
9.9,0.6505180498582749,4.011837968828452,-0.05877034238862877
9.950000000000001,0.8443657060266979,3.662897285308376,-0.8183908599386946
