time,"$T_{air,1}$","$T_{air,2}$",$T_{wall}$,$T_{out}$,u_0
41940.0,347.4104140121519,291.72999876635595,306.73617145154583,287.635459660727,0.0
42000.0,347.34089259368915,291.81637377483133,306.67112262423115,287.6287705287741,0.0
42060.0,347.0674325723857,291.7814813999858,306.8525788188767,287.60814245353095,0.0
42120.0,346.8991441618903,291.7444107290776,306.7683602808295,287.4133014189118,0.0
42180.0,346.7930380942183,291.83923554120344,306.9276987612319,287.38717835020645,0.0
42240.0,346.6938572922128,291.8445716694344,306.9658065797293,287.39854065480023,0.0
42300.0,346.3100644681386,291.88735194944667,307.07359515029447,287.3319202440795,0.0
42360.0,346.1710635557281,291.92278600087667,307.15625799059217,287.3934720294248,0.0
42420.0,346.03022304502696,292.04229683554297,307.1536493147508,287.34649928437267,0.0
42480.0,345.97605424288724,292.0499469106787,307.2392528114657,287.2182505506454,0.0
42540.0,345.74753596579905,292.06272062460494,307.1808994580428,287.2929284780546,0.0
42600.0,345.53869619134855,292.07944428051866,307.0609891355254,287.42164776198024,0.0
42660.0,345.27233110060604,292.1827286948508,306.92981609541516,287.3303310975294,0.0
42720.0,345.08096286221325,292.16481088828175,306.88334029446037,287.3135482552666,0.0
42780.0,344.7998390936919,292.27606134113034,306.8443495246855,287.2684464393756,0.0
42840.0,344.48755082074075,292.2402970427131,306.8531502404483,287.20558509037033,0.0
42900.0,344.18960645271346,292.26204168486146,307.0099459072159,287.3334635091064,0.0
42960.0,344.02634454154116,292.27543627475336,307.0241705441654,287.3284649377563,0.0
43020.0,344.03047317017257,292.2679590791748,306.9200205944114,287.352653474253,0.0
43080.0,343.9015580395852,292.1807232214416,307.1298004796768,287.4506369971996,0.0
43140.0,343.74049673880836,292.13946603794363,307.1619184786249,287.3198900725553,0.0
43200.0,343.51533083746165,292.2389139159097,307.270486990454,287.23672897644485,0.0
43260.0,343.3558537507216,292.15471893242517,307.4095626427034,287.2645115763014,0.0
43320.0,343.15447119905616,292.1022240335256,307.4190021822843,287.3240396419797,0.0
43380.0,343.01936908400984,292.1241840737416,307.5137430973097,287.3310113735051,0.0
43440.0,342.8567780726891,292.1383499983797,307.5282365169332,287.3910924325352,0.0
43500.0,342.6447955088403,292.2179998437886,307.5797426645212,287.3202587851553,0.0
43560.0,342.55428689394125,292.2964293357886,307.71874220206155,287.27610345162765,0.0
43620.0,342.4431599680394,292.2125598192068,307.7560267191499,287.2420994255879,0.0
43680.0,342.28537127981775,292.2261900936343,307.87321319458977,287.3078407074607,0.0
43740.0,342.1615143321628,292.16830046929266,307.7790067001756,287.29266988640416,0.0
43800.0,342.03961510762974,292.046785153228,307.75641966996665,287.1916689465036,0.0
43860.0,341.90769144394915,292.16267273806193,307.8662481823751,286.98861159870563,0.0
43920.0,341.6408481758784,292.20633398890504,308.1051077228522,287.0307655220537,0.0
43980.0,341.6291039947881,292.101681324455,308.0326502983092,287.10763718317537,0.0
44040.0,341.54058598141796,292.27352548885995,307.9841613576113,287.137925571586,0.0
44100.0,341.4683732539205,292.3844019952178,308.0113222599233,287.0993205416954,0.0
44160.0,341.3597920308363,292.3952360056488,308.00085653249795,287.0906796940895,0.0
44220.0,341.1124585818903,292.3563452377039,308.09008025260425,287.0623097488544,0.0
44280.0,340.9223585537635,292.4171665019889,307.906103542823,286.95045829895196,0.0
44340.0,340.7157247870595,292.5410856577997,307.94369399194,286.8946250227253,0.0
44400.0,340.4928078794143,292.4313602019579,308.0098805425498,286.97850693985714,0.0
44460.0,340.29304426855055,292.39808910495833,307.99337132684855,286.9116135265582,0.0
44520.0,340.1136872788278,292.37702019394555,307.9702492837642,286.85067723323857,0.0
44580.0,339.9945586031519,292.3080214902259,307.9811033666235,286.75169729352274,0.0
44640.0,339.95678400235477,292.23384827857706,307.92827137479065,286.67926747847036,0.0
44700.0,339.7309982027826,292.2791174892719,307.9942535642219,286.5376190639822,0.0
44760.0,339.5385196097493,292.3086762367823,308.12771397413616,286.46376288080194,0.0
44820.0,339.44575977338116,292.2024305971924,308.1495568228331,286.52690965571594,0.0
44880.0,339.3249088471171,292.1159386361306,308.1546245852132,286.56049612077044,0.0
44940.0,339.1866437445956,292.1892121602734,308.1711848648583,286.4645386970362,0.0
45000.0,339.0828837048638,292.3554205082344,308.20923016961785,286.4830388692595,0.0
45060.0,338.9860132816236,292.2756762630182,308.31376114739965,286.4953820920462,0.0
45120.0,338.96222920938453,292.31331105160444,308.35098573388785,286.5098198100578,0.0
45180.0,338.84629931082657,292.3485972287866,308.3802550800093,286.49280898374496,0.0
45240.0,338.66886944784346,292.42561881035294,308.33821177979473,286.4781348488859,0.0
45300.0,338.56843929404045,292.53030285959244,308.27969840456814,286.40605767555274,0.0
45360.0,338.5750634757187,292.65677958775797,308.33813100488777,286.32701240768114,0.0
45420.0,338.480652787057,292.5352323140483,308.50846117967745,286.3174601860686,0.0
45480.0,338.28402028878827,292.631353783136,308.49658293917565,286.3083064912095,0.0
45540.0,338.223196256922,292.5777886070007,308.4023727673305,286.3461901109285,0.0
45600.0,338.06020971324233,292.49873887030606,308.38658264484525,286.3533857821603,0.0
45660.0,337.9623169038762,292.49418715216837,308.5680436884107,286.4881136419,0.0
45720.0,337.8815340238758,292.46450782994714,308.6009959426533,286.4449247734151,0.0
45780.0,337.73778176996774,292.5229016072014,308.6214209290838,286.4832553846256,0.0
45840.0,337.8626624182256,292.44976887288317,308.7523676241315,286.4099252840441,0.0
45900.0,337.6603496432513,292.4962464258031,308.8313142407558,286.503522224964,0.0
45960.0,337.55947094153515,292.53298490545683,308.80874737440837,286.45983534920634,0.0
46020.0,337.38803091877423,292.5590560922968,308.8705865464631,286.514626405645,0.0
46080.0,337.20350171711783,292.5999206296422,308.6551059075928,286.652740037143,0.0
46140.0,337.11802573296075,292.72269744867174,308.54634378336317,286.5961257265916,0.0
46200.0,337.0805717061811,292.75206979444596,308.52085352497073,286.53437428608987,0.0
46260.0,336.90535282267894,292.6976525420852,308.5555427738021,286.6022287795525,0.0
46320.0,336.81068108659514,292.7715126654159,308.5774659207002,286.5394143812549,0.0
46380.0,336.71922955148784,292.85241483365206,308.6381875797689,286.4016921615878,0.0
46440.0,336.6419558332002,292.8593881712563,308.6840787284172,286.4167123113215,0.0
46500.0,336.49339815397263,292.77651765679065,308.6463525064899,286.4041791594999,0.0
46560.0,336.33748118017826,292.7060275592061,308.6719815515627,286.41989776533507,0.0
46620.0,336.2055236479238,292.84174346634137,308.73010002311946,286.36575869783934,0.0
46680.0,336.08947649354707,292.73779317920224,308.7139178812504,286.4629425409887,0.0
46740.0,336.0188136142745,292.75428261233697,308.92810342733304,286.5467399600923,0.0
46800.0,336.05106054820124,292.7268346190726,308.8633377548375,286.53470569051916,0.0
46860.0,335.8978014532291,292.74724973783736,308.8478823670364,286.48735368604,0.0
46920.0,335.80265823792473,292.77611570071116,308.8938070408615,286.50047345047244,0.0
46980.0,335.6845894795611,292.8527246001661,308.9015618448545,286.417042842148,0.0
47040.0,335.507193604114,292.7670402090631,308.8991248472434,286.4276475758125,0.0
47100.0,335.47459748377423,292.7484700429858,308.9237180202591,286.3732835571136,0.0
47160.0,335.39811819935704,292.79745891571974,309.1614466122998,286.36737091043733,0.0
47220.0,335.16720181551926,292.76224767569903,309.2348149897462,286.3179189339034,0.0
47280.0,335.1519542038793,292.739240167716,309.1300634029393,286.4184443389582,0.0
47340.0,335.0965930460313,292.77157738619536,309.17207051324,286.4441925802002,0.0
47400.0,334.9305801037932,292.5991777784039,309.1673175686064,286.5346994023357,0.0
47460.0,334.80181921090116,292.58855597890863,309.06211539227814,286.51243083616816,0.0
47520.0,334.63436204810967,292.5286648264981,309.1137972100493,286.44147233310605,0.0
47580.0,334.57480926213447,292.55836058457623,309.14220009871974,286.30325968854936,0.0
47640.0,334.57763772683825,292.4891658783724,309.3653188912158,286.2812881612023,0.0
47700.0,334.4656707028447,292.5245339696908,309.3972110057686,286.2181169525613,0.0
